,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
210,F29624,1125.0,E,,2019-09-24 08:04:45.000,2019-09-24,2019-09-24 00:00:00,2019-10-09,,1319.0,0.0,0
216,F29630,357.0,E,2.0,2019-09-24 12:46:36.000,2019-09-24,2019-09-24 00:00:00,2019-09-24,,3885.4800000000005,0.0,0
219,F29633,728.0,E,1.0,2019-09-24 18:16:11.000,2019-09-24,2019-09-24 00:00:00,2019-11-23,,155913.0,23386.950000000008,0
225,F29639,251.0,C,5.0,2019-09-25 09:09:58.000,2019-09-25,2019-09-25 00:00:00,2019-10-25,2019-09-26,1250.0,0.0,0
249,F29663,251.0,E,5.0,2019-09-26 15:28:26.000,2019-09-26,2019-09-26 00:00:00,2019-10-26,,1250.0,0.0,0
256,F29670,1586.0,E,2.0,2019-09-26 16:28:39.000,2019-09-26,2019-09-26 00:00:00,2019-09-26,,144.0,0.0,0
263,F29677,1020.0,E,2.0,2019-09-27 11:08:37.000,2019-09-27,2019-09-27 00:00:00,2019-10-27,,4528.6,0.0,0
273,F29687,728.0,E,1.0,2019-09-27 16:52:19.000,2019-09-27,2019-09-27 00:00:00,2019-11-26,,155913.0,23386.950000000008,0
299,F29713,1083.0,E,1.0,2019-09-30 18:14:59.000,2019-09-30,2019-09-30 00:00:00,2019-09-30,,4070.5517000000004,0.0,0
305,F29719,1703.0,E,1.0,2019-09-30 18:33:33.000,2019-09-30,2019-09-30 00:00:00,2019-10-30,,50994.00000000001,0.0,0
323,F29737,1965.0,E,2.0,2019-10-02 09:57:08.000,2019-10-02,2019-10-02 00:00:00,2019-10-17,,976.5000000000001,146.48,0
340,F29754,251.0,E,3.0,2019-10-03 08:25:55.000,2019-10-03,2019-10-04 00:00:00,2019-11-02,,10500.0,0.0,0
343,F29757,1083.0,E,3.0,2019-10-03 10:50:19.000,2019-10-03,2019-10-04 00:00:00,2019-10-03,,4070.55,0.0,0
348,F29764,1429.0,C,4.0,2019-10-03 15:02:51.000,2019-10-03,2019-10-03 00:00:00,2019-11-02,2019-10-04,1490.0000000000002,0.0,0
353,F29769,1965.0,E,2.0,2019-10-03 16:51:20.000,2019-10-03,2019-10-03 00:00:00,2019-10-18,,6516.0,977.4000000000003,0
364,F29780,1429.0,E,4.0,2019-10-04 08:06:37.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,,1490.0000000000002,0.0,0
368,F29784,1053.0,E,3.0,2019-10-04 09:02:02.000,2019-10-04,2019-09-26 00:00:00,2019-11-03,,8686.41,0.0,0
379,F29795,161.0,E,4.0,2019-10-04 12:28:52.000,2019-10-04,2019-09-26 00:00:00,2019-11-03,,1054.0,0.0,0
386,F29802,1159.0,C,,2019-10-04 14:23:06.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,2019-10-04,675.0,0.0,0
